,Title,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Horror,Sci-Fi,Drama,Thriller,Comedy,Adventure,Action,Adult,Mystery,Crime,Romance,War,Fantasy,Animation,Musical,Family,Western,Title_Dead,Title_Zombie
58,To kako,movie,5.4,83.0,2005,"Action, Comedy, Horror",1846,2005-09-24,Giorgos Nousias,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
7,Severed,movie,4.5,93.0,2005,"Horror, Sci-Fi, Thriller",2109,2005-09-25,Carl Bessai,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
142,Doom,movie,5.2,105.0,2005,"Action, Horror, Sci-Fi",115308,2005-10-20,Andrzej Bartkowiak,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
170,The Cabinet of Dr. Caligari,movie,5.6,76.0,2005,"Drama, Horror, Mystery, Thriller",737,2005-10-22,David Lee Fisher,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
46,Horrors of War,movie,2.9,99.0,2006,"Action, Horror, Sci-Fi, War",1225,2006-03-25,"Peter John Ross, John Whitney",True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
72,Slither,movie,6.5,95.0,2006,"Comedy, Horror, Sci-Fi",84381,2006-03-31,James Gunn,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
191,Zonbi jieitai,movie,4.6,75.0,2006,"Action, Comedy, Horror, Sci-Fi",451,2006-04-23,Naoyuki Tomomatsu,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
176,Pulse,movie,4.7,90.0,2006,"Horror, Sci-Fi, Thriller",29831,2006-08-09,Jim Sonzero,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
121,Fido,movie,6.7,93.0,2006,"Comedy, Drama, Horror, Sci-Fi",29575,2006-09-07,Andrew Currie,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,Black Sheep,movie,5.8,87.0,2006,"Adult, Comedy, Horror, Sci-Fi",41182,2006-09-10,Jonathan King,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
63,Automaton Transfusion,movie,3.7,75.0,2006,Horror,2398,2006-10-18,Steven C. Miller,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
