Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
113,tt0109592,2014-02-19,2014-02-19,,Dellamorte dellamore,https://www.imdb.com/title/tt0109592/,movie,7.1,105,1994,"Comedy, Horror",22016,1994-03-25,Michele Soavi
114,tt1183276,2014-02-19,2014-02-19,,La horde,https://www.imdb.com/title/tt1183276/,movie,5.9,90,2009,"Action, Horror",15952,2009-08-28,"Yannick Dahan, Benjamin Rocher"
115,tt1650042,2014-02-19,2014-02-19,,Dead Season,https://www.imdb.com/title/tt1650042/,movie,4.6,85,2012,"Horror, Sci-Fi",3182,2012-05-15,Adam Deyoe
116,tt0063350,2014-02-19,2014-02-19,,Night of the Living Dead,https://www.imdb.com/title/tt0063350/,movie,7.8,96,1968,"Horror, Thriller",132070,1968-10-01,George A. Romero
117,tt0077402,2014-02-19,2014-02-19,,Dawn of the Dead,https://www.imdb.com/title/tt0077402/,movie,7.8,127,1978,"Horror, Thriller",123254,1978-09-01,George A. Romero
118,tt0088993,2014-02-19,2014-02-19,,Day of the Dead,https://www.imdb.com/title/tt0088993/,movie,7.1,101,1985,"Horror, Thriller",70945,1985-06-30,George A. Romero
119,tt0418819,2014-02-19,2014-02-19,,Land of the Dead,https://www.imdb.com/title/tt0418819/,movie,6.2,93,2005,"Horror, Sci-Fi, Thriller",98143,2005-06-18,George A. Romero
120,tt0848557,2014-02-19,2014-02-19,,Diary of the Dead,https://www.imdb.com/title/tt0848557/,movie,5.5,95,2007,"Fantasy, Horror, Sci-Fi, Thriller",48166,2007-09-08,George A. Romero
121,tt1134854,2014-02-19,2014-02-19,,Survival of the Dead,https://www.imdb.com/title/tt1134854/,movie,4.8,90,2009,"Comedy, Drama, Horror, Thriller",21890,2009-09-09,George A. Romero
122,tt0457572,2014-02-19,2014-02-19,,Fido,https://www.imdb.com/title/tt0457572/,movie,6.7,93,2006,"Comedy, Drama, Horror, Sci-Fi",29575,2006-09-07,Andrew Currie
